PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
F04,236646.143,7644765.163,580.560,11.606,PeM,Second Ratoon,457.500,463.000,79.500,25.000,4.900,9.000,0.600,21.000,5.000,20.000,26.700,46.700,57.000,16.000,0.570,2.700,15.000,7.300,62.411
F05,236654.080,7644814.529,580.792,10.575,PeM,Second Ratoon,472.500,444.000,83.500,22.000,5.100,20.000,0.900,28.000,4.000,29.000,33.000,62.000,53.000,12.000,0.900,2.000,14.000,7.400,56.986
F06,236662.017,7644863.895,581.370,9.269,PeM,Second Ratoon,487.000,412.000,101.000,25.000,5.200,14.000,0.800,39.000,9.000,27.000,48.900,75.900,64.000,9.000,0.550,2.300,13.000,9.000,58.640
F07,236669.954,7644913.261,581.816,10.212,PeM,Second Ratoon,499.500,400.000,100.500,23.000,5.400,7.000,0.800,28.000,9.000,17.000,37.900,54.900,69.000,8.000,0.670,2.900,17.000,9.900,60.921
F08,236677.891,7644962.627,582.327,11.538,PeM,Second Ratoon,497.500,390.000,112.500,26.000,5.200,7.000,1.200,23.000,7.000,20.000,31.300,51.300,61.000,10.000,0.730,2.900,12.000,10.700,58.799
F09,236685.828,7645011.993,582.757,10.107,PeM,Second Ratoon,517.000,380.000,103.000,22.000,5.500,9.000,1.000,20.000,7.000,26.000,28.100,54.100,52.000,10.000,0.650,2.500,12.000,10.300,56.533
F10,236693.765,7645061.358,583.397,8.310,PeM,Second Ratoon,513.000,369.000,118.000,24.000,5.500,7.000,1.300,26.000,7.000,14.000,34.400,48.400,71.000,11.000,0.460,2.900,9.000,11.400,57.822
F11,236701.702,7645110.724,583.403,11.705,PeM,Second Ratoon,477.500,404.000,118.500,21.000,5.600,13.000,1.300,30.000,9.000,14.000,40.400,54.400,74.000,8.000,0.640,2.900,10.000,11.700,60.366
F12,236709.639,7645160.090,583.500,6.090,PeM,Second Ratoon,471.500,426.000,102.500,24.000,5.500,9.000,3.300,64.000,12.000,24.000,79.500,103.500,77.000,9.000,0.820,2.400,12.000,12.400,64.829
F13,236717.576,7645209.456,583.726,11.160,PeM,Second Ratoon,469.000,448.000,83.000,21.000,5.100,12.000,1.500,25.000,6.000,18.000,32.600,50.600,64.000,18.000,0.510,1.900,13.000,13.000,55.226
