PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
H18,236855.994,7645440.412,593.471,7.582,PeM,Plant,464.500,418.000,117.500,30.000,5.300,8.000,2.700,24.000,7.000,22.000,32.800,55.300,59.000,0.200,0.130,6.500,18.000,32.500,101.961
H19,236863.931,7645489.778,593.058,7.282,PeM,Plant,461.500,411.000,127.500,30.000,5.200,7.000,1.400,17.000,6.000,28.000,24.000,51.700,46.000,0.200,0.130,6.500,24.000,21.500,100.714
H20,236871.868,7645539.143,592.439,6.818,PeM,Plant,412.500,488.000,99.500,31.000,5.300,7.000,3.400,24.000,8.000,28.000,36.000,63.700,56.000,0.200,0.120,6.700,21.000,29.300,98.012
H21,236879.805,7645588.509,591.112,9.193,PeM,Plant,435.500,449.000,115.500,25.000,5.600,8.000,2.500,25.000,7.000,22.000,35.300,57.800,61.000,1.000,0.130,5.900,20.000,23.900,115.785
I04,236794.240,7644741.352,594.679,8.590,PeM,Plant,387.500,534.000,78.500,26.000,5.400,6.000,0.200,44.000,4.000,22.000,48.400,70.900,68.000,1.000,0.150,3.500,16.000,15.500,122.019
I05,236802.178,7644790.718,595.440,12.015,PeM,Plant,410.500,499.000,90.500,27.000,5.100,8.000,0.900,22.000,5.000,28.000,27.200,55.000,50.000,5.000,0.150,4.400,21.000,23.100,139.713
I06,236810.115,7644840.084,595.257,4.829,PeM,Plant,422.500,450.000,127.500,33.000,5.600,10.000,2.100,37.000,9.000,22.000,48.400,70.900,68.000,1.000,0.160,4.300,31.000,28.700,106.689
I07,236818.052,7644889.449,595.770,10.854,PeM,Plant,463.000,413.000,124.000,29.000,5.200,7.000,2.900,24.000,6.000,31.000,33.000,63.800,52.000,9.000,0.170,4.800,21.000,21.300,101.339
I21,236929.171,7645580.572,595.311,6.473,PeM,Plant,392.000,488.000,120.000,24.000,5.400,24.000,1.500,21.000,5.000,25.000,27.400,52.400,52.000,4.000,0.090,5.900,20.000,27.300,121.100
C14,236577.416,7645282.633,568.364,13.202,PeM,First Ratoon,401.000,514.000,85.000,36.000,5.200,10.000,1.100,21.000,6.000,24.000,28.400,52.400,54.000,11.000,0.250,2.400,14.000,9.400,78.189
C15,236585.353,7645331.999,569.248,41.792,PeM,First Ratoon,424.000,480.000,96.000,18.000,5.200,10.000,1.600,12.000,2.000,23.000,15.900,38.900,41.000,21.000,0.150,1.900,8.000,7.800,66.712
C16,236593.290,7645381.365,570.391,11.223,PeM,First Ratoon,436.500,462.000,101.500,24.000,5.000,12.000,1.300,18.000,3.000,31.000,22.600,53.600,42.000,24.000,0.220,2.900,11.000,9.200,75.892
C17,236601.227,7645430.731,569.427,2.189,PeM,First Ratoon,471.500,415.000,113.500,18.000,4.600,7.000,2.000,8.000,3.000,29.000,13.300,42.300,31.000,21.000,0.180,2.200,16.000,5.600,79.138
C18,236609.164,7645480.097,570.934,46.750,PeM,First Ratoon,456.000,419.000,125.000,24.000,5.000,12.000,1.300,18.000,3.000,31.000,22.600,53.600,42.000,24.000,0.220,2.900,11.000,9.200,84.400
C19,236617.101,7645529.463,570.126,12.133,PeM,First Ratoon,427.000,452.000,121.000,28.000,4.700,24.000,2.200,19.000,4.000,31.000,25.500,56.500,45.000,28.000,0.220,2.800,17.000,8.800,75.528
D02,236531.537,7644682.305,568.397,19.154,PeM,First Ratoon,347.000,577.000,76.000,37.000,4.900,20.000,0.600,34.000,4.000,32.000,38.900,70.900,55.000,16.000,0.300,2.600,27.000,8.400,83.043
D03,236539.474,7644731.671,570.782,48.240,PeM,First Ratoon,406.400,511.600,82.000,20.000,4.800,9.000,0.700,17.000,2.000,34.000,20.000,54.000,37.000,50.000,0.270,2.900,12.000,11.400,73.230
D04,236547.411,7644781.037,569.328,62.145,PeM,First Ratoon,461.500,433.000,105.500,27.000,4.900,9.000,1.300,17.000,4.000,29.000,22.500,51.500,44.000,35.000,0.120,3.300,10.000,24.000,85.724
D05,236555.348,7644830.403,570.963,19.229,PeM,First Ratoon,479.000,424.000,97.000,29.000,4.900,10.000,1.200,17.000,5.000,32.000,23.400,55.400,42.000,20.000,0.160,3.500,12.000,12.200,83.023
D06,236563.285,7644879.769,569.821,30.558,PeM,First Ratoon,506.500,410.000,83.500,31.000,5.100,12.000,1.200,21.000,4.000,31.000,26.400,57.400,46.000,19.000,0.160,4.000,13.000,23.600,83.635
D07,236571.222,7644929.135,571.868,6.873,PeM,First Ratoon,508.500,380.000,111.500,34.000,4.900,10.000,1.600,23.000,5.000,38.000,30.100,68.100,44.000,23.000,0.150,4.500,14.000,16.800,88.182
D08,236579.159,7644978.501,572.443,8.474,PeM,First Ratoon,509.500,389.000,101.500,37.000,5.200,12.000,1.800,31.000,6.000,29.000,39.100,68.100,57.000,24.000,0.080,4.500,13.000,16.600,86.925
D09,236587.096,7645027.867,573.093,9.739,PeM,First Ratoon,524.000,383.000,93.000,35.000,5.300,15.000,2.400,32.000,8.000,30.000,42.700,72.700,59.000,15.000,0.140,3.500,15.000,15.000,96.658
D10,236595.033,7645077.233,573.647,8.795,PeM,First Ratoon,537.500,369.000,93.500,35.000,5.400,11.000,1.300,38.000,10.000,31.000,49.600,80.600,62.000,16.000,0.120,3.800,16.000,12.400,93.714
D11,236602.970,7645126.599,573.969,8.617,PeM,First Ratoon,501.000,406.000,93.000,38.000,5.300,14.000,1.500,26.000,7.000,28.000,34.700,62.700,55.000,11.000,0.260,3.000,16.000,11.800,100.559
D12,236610.907,7645175.964,574.343,9.837,PeM,First Ratoon,437.000,452.000,111.000,29.000,5.400,14.000,1.200,19.000,4.000,35.000,24.400,59.400,41.000,15.000,0.140,3.200,16.000,12.200,93.005
D13,236618.845,7645225.330,574.487,7.760,PeM,First Ratoon,417.500,505.000,77.500,28.000,5.500,11.000,0.900,29.000,5.000,26.000,35.100,61.100,57.000,10.000,0.210,2.800,13.000,11.200,96.233
D14,236626.782,7645274.696,574.842,11.462,PeM,First Ratoon,409.500,531.000,59.500,31.000,5.500,11.000,0.900,26.000,5.000,24.000,32.100,56.100,57.000,14.000,0.080,2.300,13.000,11.400,100.791
D15,236634.719,7645324.062,575.254,13.258,PeM,First Ratoon,417.000,516.000,67.000,28.000,5.600,13.000,0.800,24.000,6.000,26.000,31.000,57.000,54.000,14.000,0.160,2.600,13.000,10.600,99.876
D16,236642.656,7645373.428,575.283,8.671,PeM,First Ratoon,443.500,473.000,83.500,31.000,5.500,15.000,1.500,24.000,5.000,26.000,30.600,56.600,54.000,10.000,0.100,3.000,15.000,15.400,100.988
D17,236650.593,7645422.794,575.549,6.283,PeM,First Ratoon,471.000,428.000,101.000,32.000,5.600,11.000,0.800,25.000,5.000,26.000,30.900,56.900,54.000,26.000,0.210,3.300,16.000,11.200,107.824
D18,236658.530,7645472.160,575.695,6.537,PeM,First Ratoon,486.000,396.000,118.000,30.000,5.300,23.000,1.900,24.000,5.000,34.000,31.000,65.000,48.000,19.000,0.320,3.300,19.000,16.400,102.017
D19,236666.467,7645521.526,575.637,6.598,PeM,First Ratoon,509.000,371.000,120.000,25.000,5.300,15.000,2.000,22.000,4.000,29.000,28.200,57.200,49.000,37.000,0.140,2.700,14.000,10.200,100.118
E01,236572.966,7644625.002,577.326,17.786,PeM,First Ratoon,377.500,561.000,61.500,24.000,5.100,3.000,0.700,19.000,3.000,24.000,23.700,47.700,50.000,16.000,0.270,1.500,12.000,2.400,102.869
E02,236580.903,7644674.368,576.768,11.186,PeM,First Ratoon,413.000,531.000,56.000,31.000,5.400,16.000,1.600,31.000,5.000,34.000,37.800,71.800,53.000,15.000,0.480,2.400,16.000,9.400,112.999
E03,236588.840,7644723.734,575.870,8.486,PeM,First Ratoon,386.000,544.000,70.000,45.000,4.800,17.000,1.900,40.000,7.000,36.000,49.000,85.000,58.000,16.000,0.230,2.900,28.000,13.800,97.954
E04,236596.777,7644773.100,575.560,8.521,PeM,First Ratoon,424.500,473.000,102.500,39.000,5.000,12.000,1.200,26.000,5.000,40.000,32.300,72.300,45.000,16.000,0.190,3.300,17.000,16.200,103.621
E05,236604.714,7644822.466,575.650,7.812,PeM,First Ratoon,503.500,411.000,85.500,34.000,5.000,10.000,1.700,25.000,6.000,33.000,32.800,65.800,50.000,11.000,0.210,3.600,14.000,15.200,97.494
E06,236612.651,7644871.832,575.970,9.078,PeM,First Ratoon,515.500,380.000,104.500,41.000,5.100,9.000,2.000,32.000,7.000,37.000,41.100,78.100,53.000,16.000,0.220,3.600,14.000,17.800,91.141
E07,236620.588,7644921.198,576.863,13.549,PeM,First Ratoon,529.000,379.000,92.000,40.000,5.000,24.000,2.500,30.000,7.000,41.000,39.600,80.600,49.000,14.000,0.250,3.700,16.000,15.800,108.996
E08,236628.525,7644970.564,577.833,11.047,PeM,First Ratoon,521.500,368.000,110.500,34.000,5.200,10.000,1.100,34.000,6.000,31.000,41.300,72.300,57.000,14.000,0.320,3.700,13.000,10.600,101.790
E09,236636.462,7645019.930,577.836,7.215,PeM,First Ratoon,524.000,384.000,92.000,31.000,5.000,35.000,1.500,26.000,6.000,32.000,33.600,65.600,51.000,18.000,0.120,3.500,12.000,11.800,96.595
E10,236644.399,7645069.296,577.852,1.275,PeM,First Ratoon,523.000,359.000,118.000,23.000,5.200,11.000,2.200,17.000,3.000,23.000,22.400,45.400,49.000,26.000,0.120,2.400,7.000,8.600,90.067
E11,236652.336,7645118.661,578.476,8.110,PeM,First Ratoon,496.500,403.000,100.500,16.000,5.300,5.000,2.500,13.000,2.000,20.000,17.700,37.700,47.000,22.000,0.300,1.700,8.000,2.400,91.179
E12,236660.273,7645168.027,578.653,9.590,PeM,First Ratoon,479.000,432.000,89.000,26.000,5.400,13.000,1.600,25.000,4.000,26.000,30.700,56.700,54.000,18.000,0.240,2.400,11.000,9.400,100.900
E13,236668.210,7645217.393,579.285,17.429,PeM,First Ratoon,441.500,467.000,91.500,27.000,5.300,9.000,2.100,24.000,4.000,26.000,30.200,56.200,54.000,19.000,0.200,2.300,12.000,9.400,93.775
E14,236676.148,7645266.759,579.621,13.265,PeM,First Ratoon,408.500,531.000,60.500,22.000,5.000,11.000,1.400,20.000,3.000,30.000,24.500,54.500,45.000,14.000,0.180,2.500,15.000,15.200,100.892
E15,236684.085,7645316.125,579.683,8.991,PeM,First Ratoon,435.000,484.000,81.000,25.000,5.200,26.000,2.800,19.000,4.000,27.000,25.900,52.900,49.000,17.000,0.180,2.400,12.000,12.400,101.018
E16,236692.022,7645365.491,578.145,32.491,PeM,First Ratoon,451.500,450.000,98.500,26.000,5.300,17.000,1.200,24.000,5.000,29.000,30.400,59.400,51.000,16.000,0.230,2.900,17.000,15.600,97.228
E17,236699.959,7645414.857,579.692,16.869,PeM,First Ratoon,463.000,430.000,107.000,25.000,5.000,13.000,1.800,15.000,3.000,34.000,20.100,54.100,37.000,19.000,0.180,3.000,14.000,20.400,98.428
E18,236707.896,7645464.223,578.708,11.285,PeM,First Ratoon,435.000,457.000,108.000,27.000,4.900,13.000,1.400,18.000,4.000,29.000,23.600,52.600,45.000,16.000,0.130,4.300,20.000,26.000,101.562
E19,236715.833,7645513.589,579.113,27.179,PeM,First Ratoon,491.500,376.000,132.500,26.000,5.000,23.000,2.200,22.000,5.000,28.000,29.400,57.400,51.000,26.000,0.130,4.000,16.000,19.600,111.016
E20,236723.770,7645562.955,579.271,11.064,PeM,First Ratoon,490.000,388.000,122.000,22.000,5.000,9.000,1.400,18.000,2.000,28.000,21.600,49.600,44.000,63.000,0.070,3.000,12.000,22.800,104.976
F01,236622.331,7644617.065,582.387,9.480,PeM,First Ratoon,390.500,546.000,63.500,28.000,5.200,13.000,0.900,23.000,3.000,28.000,27.100,55.100,49.000,19.000,0.120,2.300,14.000,7.400,105.020
F02,236630.269,7644666.431,581.753,9.142,PeM,First Ratoon,399.000,525.000,76.000,31.000,5.200,9.000,1.200,41.000,7.000,26.000,49.400,75.400,66.000,17.000,0.180,2.300,14.000,9.400,110.415
F03,236638.206,7644715.797,580.935,7.607,PeM,First Ratoon,444.000,473.000,83.000,27.000,5.300,12.000,0.800,34.000,5.000,26.000,40.100,66.100,61.000,15.000,0.170,2.500,11.000,11.000,111.826
F04,236646.143,7644765.163,580.560,11.606,PeM,First Ratoon,457.500,463.000,79.500,25.000,5.200,10.000,1.400,23.000,4.000,28.000,28.700,56.700,51.000,21.000,0.130,3.500,21.000,13.200,110.646
F05,236654.080,7644814.529,580.792,10.575,PeM,First Ratoon,472.500,444.000,83.500,25.000,5.100,13.000,1.400,18.000,5.000,28.000,24.700,52.700,47.000,17.000,0.680,3.600,14.000,10.000,108.022
F06,236662.017,7644863.895,581.370,9.269,PeM,First Ratoon,487.000,412.000,101.000,22.000,5.300,54.000,1.100,23.000,8.000,27.000,32.300,59.300,54.000,16.000,0.070,3.500,15.000,8.600,126.636
F07,236669.954,7644913.261,581.816,10.212,PeM,First Ratoon,499.500,400.000,100.500,24.000,5.400,8.000,0.800,38.000,8.000,26.000,47.000,73.000,64.000,15.000,0.180,3.700,13.000,10.600,110.696
F08,236677.891,7644962.627,582.327,11.538,PeM,First Ratoon,497.500,390.000,112.500,26.000,5.500,9.000,0.600,31.000,7.000,22.000,38.800,60.800,64.000,16.000,0.120,3.800,12.000,9.200,111.998
F09,236685.828,7645011.993,582.757,10.107,PeM,First Ratoon,517.000,380.000,103.000,25.000,5.700,10.000,1.400,31.000,8.000,22.000,40.700,62.700,65.000,13.000,0.090,3.700,13.000,14.800,108.058
F10,236693.765,7645061.358,583.397,8.310,PeM,First Ratoon,513.000,369.000,118.000,25.000,5.500,11.000,2.700,28.000,7.000,21.000,37.800,58.800,64.000,13.000,0.070,3.600,13.000,14.200,100.844
F11,236701.702,7645110.724,583.403,11.705,PeM,First Ratoon,477.500,404.000,118.500,25.000,5.800,12.000,2.200,29.000,7.000,20.000,38.400,58.400,66.000,13.000,0.130,3.200,15.000,17.200,102.203
F12,236709.639,7645160.090,583.500,6.090,PeM,First Ratoon,471.500,426.000,102.500,25.000,5.800,13.000,1.700,44.000,9.000,23.000,55.100,78.100,71.000,13.000,0.120,3.100,13.000,15.400,106.852
F13,236717.576,7645209.456,583.726,11.160,PeM,First Ratoon,469.000,448.000,83.000,29.000,5.500,15.000,1.900,29.000,7.000,20.000,38.200,58.200,66.000,12.000,0.160,2.900,18.000,16.800,111.259
F14,236725.513,7645258.822,584.373,16.207,PeM,First Ratoon,445.500,479.000,75.500,31.000,5.700,10.000,1.600,40.000,10.000,18.000,51.900,69.900,74.000,11.000,0.430,3.000,18.000,15.400,104.588
F15,236733.451,7645308.188,584.851,13.441,PeM,First Ratoon,452.000,456.000,92.000,24.000,5.600,26.000,1.200,26.000,7.000,28.000,34.300,62.300,55.000,15.000,0.270,3.400,17.000,17.000,106.208
F16,236741.388,7645357.554,584.875,3.316,PeM,First Ratoon,460.500,432.000,107.500,21.000,5.500,11.000,0.900,21.000,6.000,21.000,28.100,49.100,57.000,13.000,0.420,4.100,16.000,16.000,103.851
F17,236749.325,7645406.920,584.813,7.279,PeM,First Ratoon,479.000,405.000,116.000,26.000,5.900,11.000,1.700,28.000,7.000,20.000,36.900,56.900,65.000,14.000,0.310,4.500,14.000,21.400,102.530
F18,236757.262,7645456.286,584.903,6.968,PeM,First Ratoon,499.000,375.000,126.000,22.000,5.600,15.000,0.700,26.000,6.000,24.000,33.100,57.100,58.000,22.000,0.290,4.300,18.000,17.200,98.588
F19,236765.199,7645505.652,584.749,12.626,PeM,First Ratoon,492.500,400.000,107.500,24.000,5.400,26.000,1.700,21.000,5.000,30.000,27.900,57.900,48.000,20.000,0.240,4.000,18.000,17.000,94.345
F20,236773.136,7645555.018,583.832,11.919,PeM,First Ratoon,473.500,413.000,113.500,21.000,5.300,17.000,1.800,21.000,4.000,28.000,27.100,55.100,49.000,26.000,0.220,3.700,19.000,17.200,114.425
G02,236679.634,7644658.494,585.960,9.740,PeM,First Ratoon,438.000,499.000,63.000,20.000,5.700,4.000,1.300,21.000,5.000,16.000,27.700,43.700,63.000,15.000,0.280,1.500,11.000,4.800,81.809
G03,236687.572,7644707.860,585.494,13.423,PeM,First Ratoon,468.000,451.000,81.000,18.000,5.700,4.000,1.700,18.000,3.000,19.000,23.000,42.000,55.000,22.000,0.140,1.500,8.000,4.200,89.616
G04,236695.509,7644757.226,585.194,11.792,PeM,First Ratoon,472.500,451.000,76.500,19.000,5.400,3.000,2.200,21.000,4.000,20.000,27.500,47.500,58.000,24.000,0.190,1.500,9.000,4.200,92.270
G05,236703.446,7644806.592,585.610,10.939,PeM,First Ratoon,441.000,481.000,78.000,21.000,5.000,8.000,4.600,20.000,3.000,30.000,27.900,57.900,48.000,24.000,0.160,2.400,18.000,4.200,75.015
G06,236711.383,7644855.958,585.984,10.638,PeM,First Ratoon,468.813,432.000,99.188,24.000,5.700,5.000,1.700,28.000,6.000,23.000,35.900,58.900,61.000,20.000,0.220,2.000,14.000,4.400,83.928
G07,236719.320,7644905.324,586.707,6.083,PeM,First Ratoon,493.500,408.000,98.500,22.000,5.600,5.000,1.500,26.000,6.000,24.000,33.900,57.900,59.000,17.000,0.180,2.500,13.000,7.400,79.278
G08,236727.257,7644954.690,587.338,9.757,PeM,First Ratoon,476.500,413.000,110.500,21.000,5.700,6.000,2.700,44.000,5.000,26.000,52.000,78.000,67.000,17.000,0.170,2.800,14.000,8.800,89.243
G09,236735.194,7645004.055,587.727,11.665,PeM,First Ratoon,459.500,398.000,142.500,21.000,5.600,22.000,2.500,26.000,6.000,25.000,34.900,59.900,58.000,17.000,0.120,2.600,16.000,6.000,92.753
G10,236743.131,7645053.421,588.080,9.446,PeM,First Ratoon,456.500,402.000,141.500,23.000,5.500,6.000,0.900,22.000,6.000,25.000,29.100,54.100,54.000,17.000,0.140,2.500,13.000,3.800,92.450
G11,236751.068,7645102.787,588.162,10.241,PeM,First Ratoon,469.000,405.000,126.000,24.000,5.800,9.000,0.700,27.000,8.000,22.000,36.000,58.000,62.000,12.000,0.150,2.200,13.000,8.200,90.477
G12,236759.005,7645152.153,588.346,10.343,PeM,First Ratoon,463.125,430.875,106.000,28.000,5.800,14.000,1.200,35.000,7.000,24.000,43.400,67.400,64.000,9.000,0.350,2.500,14.000,8.200,91.017
G13,236766.942,7645201.519,588.438,7.322,PeM,First Ratoon,420.000,508.000,72.000,24.000,5.500,7.000,1.300,34.000,6.000,27.000,41.600,68.600,61.000,16.000,0.250,2.500,16.000,10.000,93.313
G14,236774.879,7645250.885,588.850,8.989,PeM,First Ratoon,428.000,459.000,113.000,20.000,5.400,7.000,2.500,25.000,5.000,27.000,32.800,59.800,55.000,18.000,0.180,2.200,15.000,7.000,94.632
G15,236782.816,7645300.251,589.133,7.982,PeM,First Ratoon,403.000,476.000,121.000,22.000,6.000,8.000,1.000,32.000,6.000,20.000,39.300,59.300,66.000,15.000,0.260,2.200,12.000,7.800,93.527
G16,236790.754,7645349.617,589.322,10.534,PeM,First Ratoon,404.000,463.000,133.000,22.000,5.500,6.000,1.600,26.000,5.000,28.000,32.900,60.900,54.000,22.000,0.190,3.800,14.000,6.400,99.069
G17,236798.691,7645398.983,589.332,11.842,PeM,First Ratoon,427.000,445.000,128.000,21.000,5.500,9.000,2.500,18.000,4.000,31.000,24.700,55.700,44.000,16.000,0.110,4.300,14.000,8.600,95.505
G18,236806.628,7645448.349,589.134,8.924,PeM,First Ratoon,444.000,414.000,142.000,31.000,5.000,10.000,1.200,23.000,6.000,28.000,30.500,58.500,52.000,22.000,0.300,4.100,17.000,14.400,92.679
G19,236814.565,7645497.715,588.921,7.581,PeM,First Ratoon,440.500,420.000,139.500,29.000,5.200,53.000,3.000,30.000,6.000,31.000,39.200,70.200,56.000,26.000,0.240,4.800,18.000,11.400,90.098
G20,236822.502,7645547.080,588.315,12.077,PeM,First Ratoon,430.500,450.000,119.500,23.000,5.200,7.000,1.900,29.000,6.000,31.000,37.200,68.200,55.000,23.000,0.210,3.800,16.000,9.200,93.826
H03,236736.937,7644699.923,589.757,2.368,PeM,First Ratoon,466.500,433.000,100.500,20.000,5.500,17.000,1.000,21.000,5.000,23.000,27.300,50.300,54.000,9.000,0.310,2.800,14.000,11.200,90.606
H04,236744.875,7644749.289,589.958,1.843,PeM,First Ratoon,453.500,445.000,101.500,28.000,5.800,11.000,1.800,29.000,5.000,21.000,36.000,57.000,63.000,48.000,0.250,2.900,14.000,9.800,85.856
H05,236752.812,7644798.655,590.513,12.846,PeM,First Ratoon,429.500,455.000,115.500,24.000,5.700,8.000,1.400,27.000,7.000,24.000,35.600,59.600,60.000,10.000,0.130,3.100,16.000,11.000,84.634
H06,236760.749,7644848.021,591.109,12.270,PeM,First Ratoon,453.000,444.000,103.000,26.000,5.600,11.000,1.500,26.000,7.000,26.000,34.700,60.700,57.000,12.000,0.220,3.700,14.000,11.400,88.465
H07,236768.686,7644897.387,591.583,9.148,PeM,First Ratoon,474.500,412.000,113.500,22.000,5.200,9.000,0.800,17.000,5.000,27.000,23.100,50.100,46.000,13.000,0.140,3.900,16.000,9.000,85.646
H08,236776.623,7644946.752,592.017,9.919,PeM,First Ratoon,489.000,397.000,114.000,24.000,5.600,10.000,1.200,29.000,8.000,24.000,38.400,62.400,62.000,11.000,0.240,5.000,15.000,14.800,80.362
H09,236784.560,7644996.118,592.309,8.084,PeM,First Ratoon,508.500,365.000,126.500,31.000,4.900,10.000,1.800,28.000,8.000,27.000,37.900,64.900,58.000,22.000,0.190,4.900,18.000,13.400,87.075
H10,236792.497,7645045.484,592.563,8.578,PeM,First Ratoon,493.500,379.000,127.500,27.000,5.500,13.000,1.100,41.000,10.000,20.000,52.300,72.300,72.000,17.000,0.240,5.000,17.000,17.800,87.085
H11,236800.434,7645094.850,592.731,8.617,PeM,First Ratoon,476.500,408.000,115.500,27.000,5.600,13.000,1.000,32.000,9.000,19.000,42.200,61.200,69.000,15.000,0.090,5.800,17.000,20.100,87.243
H12,236808.371,7645144.216,592.822,9.983,PeM,First Ratoon,472.000,422.000,106.000,23.000,5.800,19.000,1.500,24.000,8.000,20.000,33.700,53.700,63.000,14.000,0.160,4.800,16.000,18.100,84.138
H13,236816.308,7645193.582,592.885,7.634,PeM,First Ratoon,449.500,426.000,124.500,26.000,5.600,17.000,2.300,28.000,6.000,24.000,36.600,60.600,60.000,18.000,0.170,4.300,15.000,17.300,87.705
H14,236824.245,7645242.948,593.262,8.978,PeM,First Ratoon,444.500,446.000,109.500,25.000,5.200,12.000,1.200,20.000,4.000,30.000,25.500,55.500,46.000,37.000,0.300,3.700,17.000,11.200,89.880
H15,236832.182,7645292.314,593.649,8.288,PeM,First Ratoon,451.500,434.000,114.500,26.000,5.100,14.000,0.900,30.000,6.000,27.000,37.100,64.100,58.000,68.000,0.330,4.400,18.000,8.700,91.747
H16,236840.119,7645341.680,593.844,9.400,PeM,First Ratoon,447.000,433.000,120.000,24.000,5.500,30.000,2.000,14.000,6.000,23.000,22.400,45.400,49.000,43.000,0.410,5.600,16.000,17.300,94.043
H17,236848.057,7645391.046,593.759,8.156,PeM,First Ratoon,442.500,440.000,117.500,22.000,5.500,12.000,1.500,24.000,8.000,22.000,33.900,55.900,61.000,24.000,0.210,6.500,16.000,16.300,91.911
H18,236855.994,7645440.412,593.471,7.582,PeM,First Ratoon,464.500,418.000,117.500,24.000,5.500,23.000,1.300,35.000,7.000,17.000,43.600,60.600,72.000,24.000,0.190,6.400,17.000,14.400,93.229
H19,236863.931,7645489.778,593.058,7.282,PeM,First Ratoon,461.500,411.000,127.500,23.000,5.700,11.000,1.700,34.000,9.000,22.000,45.100,67.100,67.000,33.000,0.190,6.400,16.000,23.200,83.444
H20,236871.868,7645539.143,592.439,6.818,PeM,First Ratoon,412.500,488.000,99.500,23.000,5.900,11.000,1.400,38.000,8.000,19.000,47.800,66.800,72.000,18.000,0.310,6.300,15.000,20.800,83.045
H21,236879.805,7645588.509,591.112,9.193,PeM,First Ratoon,435.500,449.000,115.500,20.000,5.700,12.000,1.800,30.000,6.000,23.000,38.100,61.100,62.000,22.000,0.160,5.600,15.000,21.000,81.641
I04,236794.240,7644741.352,594.679,8.590,PeM,First Ratoon,387.500,534.000,78.500,23.000,5.700,14.000,0.800,23.000,5.000,19.000,28.900,47.900,60.000,44.000,0.200,4.400,16.000,16.100,97.242
I05,236802.178,7644790.718,595.440,12.015,PeM,First Ratoon,410.500,499.000,90.500,17.000,6.000,7.000,1.000,18.000,4.000,17.000,23.100,40.100,58.000,19.000,0.180,3.100,9.000,13.100,103.165
I06,236810.115,7644840.084,595.257,4.829,PeM,First Ratoon,422.500,450.000,127.500,24.000,5.300,9.000,1.500,23.000,6.000,18.000,30.800,48.800,63.000,17.000,0.250,4.100,13.000,17.700,99.399
I07,236818.052,7644889.449,595.770,10.854,PeM,First Ratoon,463.000,413.000,124.000,24.000,5.400,9.000,1.300,26.000,6.000,20.000,33.400,53.400,63.000,13.000,0.250,4.500,15.000,18.900,96.386
I21,236929.171,7645580.572,595.311,6.473,PeM,First Ratoon,392.000,488.000,120.000,22.000,5.400,15.000,1.700,22.000,5.000,24.000,28.900,52.900,55.000,32.000,0.110,6.800,17.000,27.800,90.348
C14,236577.416,7645282.633,568.364,13.202,PeM,Second Ratoon,401.000,514.000,85.000,16.000,5.100,6.000,1.300,19.000,5.000,25.000,25.500,50.500,50.000,11.000,0.530,1.600,10.000,6.300,59.545
C15,236585.353,7645331.999,569.248,41.792,PeM,Second Ratoon,424.000,480.000,96.000,13.000,5.300,6.000,0.800,21.000,4.000,22.000,25.900,47.900,54.000,8.000,0.460,1.500,9.000,8.300,64.034
C16,236593.290,7645381.365,570.391,11.223,PeM,Second Ratoon,436.500,462.000,101.500,20.000,5.200,7.000,1.200,18.000,4.000,28.000,23.400,51.400,46.000,18.000,0.430,2.300,13.000,11.100,64.135
C17,236601.227,7645430.731,569.427,2.189,PeM,Second Ratoon,471.500,415.000,113.500,19.000,5.000,10.000,1.400,8.000,2.000,34.000,11.600,45.600,25.000,17.000,0.380,2.400,16.000,8.200,69.260
C18,236609.164,7645480.097,570.934,46.750,PeM,Second Ratoon,456.000,419.000,125.000,21.000,5.000,42.000,1.300,23.000,6.000,34.000,30.600,64.600,47.000,16.000,0.380,2.600,17.000,6.900,70.370
C19,236617.101,7645529.463,570.126,12.133,PeM,Second Ratoon,427.000,452.000,121.000,21.000,4.900,11.000,1.000,24.000,4.000,34.000,29.200,63.200,46.000,16.000,0.420,1.900,16.000,5.000,66.569
D02,236531.537,7644682.305,568.397,19.154,PeM,Second Ratoon,347.000,577.000,76.000,21.000,4.700,12.000,0.400,27.000,2.000,37.000,29.600,66.600,44.000,15.000,0.690,1.700,23.000,7.100,72.243
D03,236539.474,7644731.671,570.782,48.240,PeM,Second Ratoon,406.400,511.600,82.000,20.000,4.800,38.000,1.700,21.000,5.000,37.000,27.900,64.900,43.000,16.000,0.500,2.700,16.000,10.000,67.045
D04,236547.411,7644781.037,569.328,62.145,PeM,Second Ratoon,461.500,433.000,105.500,20.000,4.600,6.000,0.400,28.000,4.000,33.000,32.600,65.600,50.000,13.000,0.690,2.700,12.000,12.000,63.610
D05,236555.348,7644830.403,570.963,19.229,PeM,Second Ratoon,479.000,424.000,97.000,20.000,4.800,8.000,2.200,25.000,4.000,39.000,31.300,70.300,45.000,14.000,0.620,2.800,13.000,13.300,61.726
D06,236563.285,7644879.769,569.821,30.558,PeM,Second Ratoon,506.500,410.000,83.500,21.200,4.900,5.800,1.380,23.600,6.200,28.000,31.300,59.300,53.400,13.600,0.554,3.000,12.200,12.700,59.764
